id,title,date,type,location,metadata
440,Fantástico Natal de Castro,2024-12-01,Artístico/Cultural/Folclórico,Castro/PR,"width=device-width, initial-scale=1"
441,Natal Na Praça,2024-12-01,Artístico/Cultural/Folclórico,Salto/SP,"width=device-width, initial-scale=1"
442,Natal Cajamar Feliz,2024-12-01,Artístico/Cultural/Folclórico,Cajamar/SP,"width=device-width, initial-scale=1"
443,Lajes em Festa,2024-12-01,Social/Cívico/Histórico,Lajes/RN,"width=device-width, initial-scale=1"
444,FOSS4G 2024 - Free and Open Source Software for Geospatial,2024-12-02,Científico ou Técnico,Belém/PA,"width=device-width, initial-scale=1"
445,Aniversário da Orla de Ananindeua,2024-12-03,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
446,CHORO E JAZZ FESTIVAL,2024-12-03,Artístico/Cultural/Folclórico,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
447,FESTA DA PADROEIRA SANTA LUZIA,2024-12-03,Religioso,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
448,"Encontro de Carros Antigos, Exóticos e Especiais “De Volta ao Passa...",2024-12-06,Artístico/Cultural/Folclórico,Santa Fé do Sul/SP,"width=device-width, initial-scale=1"
449,FEIRA TURÍSTICA E CULTURAL DA MASSAMBABA,2024-12-07,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
450,Abertura Temporada de Verão,2024-12-07,Outro,Piratuba/SC,"width=device-width, initial-scale=1"
451,CAVALGADA FEMININA DO LITORAL LESTE,2024-12-07,Artístico/Cultural/Folclórico,Pindoretama/CE,"width=device-width, initial-scale=1"
452,Festa do Peixe da Baleia,2024-12-07,Gastronômico,São Pedro da Aldeia/RJ,"width=device-width, initial-scale=1"
453,Festejos de Iemanjá,2024-12-07,Religioso,Praia Grande/SP,"width=device-width, initial-scale=1"
454,25ª Volta Internacional da Pampulha,2024-12-08,Esportivo,Belo Horizonte/MG,"width=device-width, initial-scale=1"
455,JERI CULTURA LONGBOARD SURF FESTIVAL,2024-12-10,Esportivo,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
456,Sonho Encantado de Natal,2024-12-13,Artístico/Cultural/Folclórico,Montenegro/RS,"width=device-width, initial-scale=1"
457,Natal Iluminado,2024-12-13,Artístico/Cultural/Folclórico,Laranjal Paulista/SP,"width=device-width, initial-scale=1"
458,Natal de Amor,2024-12-13,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
459,FEIRA TURÍSTICA E CULTURAL DO XARÉU,2024-12-14,Outro,Arraial do Cabo/RJ,"width=device-width, initial-scale=1"
460,Auto de Natal,2024-12-18,Religioso,Praia Grande/SP,"width=device-width, initial-scale=1"
461,Festividade do Glorioso São Benedito,2024-12-18,Religioso,Bragança/PA,"width=device-width, initial-scale=1"
462,"Natal, Sonho e Luz 2024",2024-12-22,Artístico/Cultural/Folclórico,Alto Santo/CE,"width=device-width, initial-scale=1"
463,NATAL SOLENE DO SENHOR,2024-12-23,Religioso,Canindé/CE,"width=device-width, initial-scale=1"
464,Festa da Padroeira de Nossa Senhora do Rosário,2024-12-25,Religioso,Acari/RN,"width=device-width, initial-scale=1"
465,Réveillon Mil Sorrisos,2024-12-26,Comercial ou Promocional,Japaratinga/AL,"width=device-width, initial-scale=1"
466,FESTA DE SÃO BENEDITO E SÃO SEBASTIÃO/ENCONTRO DOS GRUPOS FOLCLORIC...,2024-12-30,Artístico/Cultural/Folclórico,Conceição da Barra/ES,"width=device-width, initial-scale=1"
467,Réveillon da Esperança,2024-12-31,Artístico/Cultural/Folclórico,Lucas do Rio Verde/MT,"width=device-width, initial-scale=1"
468,Réveillon da Cidade,2024-12-31,Outro,Nhamundá/AM,"width=device-width, initial-scale=1"
469,RÉVEILLON,2024-12-31,Artístico/Cultural/Folclórico,Jijoca de Jericoacoara/CE,"width=device-width, initial-scale=1"
470,Réveillon 2024/2025,2024-12-31,Artístico/Cultural/Folclórico,Paragominas/PA,"width=device-width, initial-scale=1"
471,Réveillon,2024-12-31,Outro,Piratuba/SC,"width=device-width, initial-scale=1"
472,Réveillon,2024-12-31,Social/Cívico/Histórico,Porto dos Gaúchos/MT,"width=device-width, initial-scale=1"
473,Réveillon 2025 de Pingo D´Água,2024-12-31,Social/Cívico/Histórico,Pingo-D'Água/MG,"width=device-width, initial-scale=1"
474,Réveillon,2024-12-31,Outro,Praia Grande/SP,"width=device-width, initial-scale=1"
475,Reveillon de Bragança,2024-12-31,Outro,Bragança/PA,"width=device-width, initial-scale=1"
476,Confraternização Universal,2024-12-31,Artístico/Cultural/Folclórico,Guarapuava/PR,"width=device-width, initial-scale=1"
477,Réveillon da Orla de Ananindeua,2024-12-31,Artístico/Cultural/Folclórico,Ananindeua/PA,"width=device-width, initial-scale=1"
